index,hadith_IDs,chain
10,۳۵۳۰۲۳,"['أَبَانٌ', 'سُلَيْمٍ']"
11,۳۵۳۰۲۴,"['أَبَانٌ', 'سُلَيْمٍ']"
12,۳۵۳۰۲۵,"['أَبَانٌ', 'سُلَيْمٍ']"
13,۳۵۳۰۲۶,"['أبان', 'سليم']"
14,۳۵۳۰۲۷,"['أَبَانٌ', 'سُلَيْمٍ']"
15,۳۵۳۰۲۸,"['أَبَانٌ', 'سُلَيْمٍ']"
16,۳۵۳۰۲۹,"['أَبَانٌ', 'سُلَيْمٍ']"
17,۳۵۳۰۳۰,"['أَبَانٌ', 'سُلَيْمِ بْنِ قَيْسٍ']"
18,۳۵۳۰۳۱,['سُلَيْمُ بْنُ قَيْسٍ']
19,۳۵۳۰۳۲,"['أَبَانٌ', 'سُلَيْمٍ']"
20,۳۵۳۰۳۳,['سُلَيْمُ بْنُ قَيْسٍ']
21,۳۵۳۰۳۴,"['أَبَانٌ', 'سُلَيْمٍ', 'سَلْمَانُ', 'أَبُو ذَرٍّ', 'اَلْمِقْدَادُ', 'أَبُو اَلْجَحَّافِ دَاوُدُ بْنُ أَبِي عَوْفٍ اَلْعَوْفِيُّ', 'أَبِي سَعِيدٍ اَلْخُدْرِيِّ']"
22,۳۵۳۰۳۵,"['أَبَانٌ', 'سُلَيْمٍ']"
23,۳۵۳۰۳۶,"['أبان', 'سليم']"
24,۳۵۳۰۳۷,"['أَبَانٌ', 'سُلَيْمٍ']"
25,۳۵۳۰۳۸,"['أَبَانٌ', 'سُلَيْمٍ', 'أَبُو هَارُونَ اَلْعَبْدِيُّ', 'عُمَرَ بْنِ أَبِي سَلَمَةَ']"
26,۳۵۳۰۳۹,"['أَبَانٌ', 'سُلَيْمٍ', 'عُمَرَ بْنِ أَبِي سَلَمَةَ']"
27,۳۵۳۰۴۰,"['أَبَانُ بْنُ أَبِي عَيَّاشٍ', 'سُلَيْمٍ']"
28,۳۵۳۰۴۱,"['أبان', 'سليم بن قيس']"
29,۳۵۳۰۴۲,"['أَبَانٌ', 'سُلَيْمٌ']"
30,۳۵۳۰۴۳,"['أَبَانٌ', 'سُلَيْمٌ', 'اِبْنَ عَبَّاسٍ']"
31,۳۵۳۰۴۴,"['أَبَانٌ', 'سُلَيْمٍ']"
32,۳۵۳۰۴۵,"['أَبَانٌ', 'سُلَيْمٌ']"
33,۳۵۳۰۴۶,"['أَبَانٌ', 'سُلَيْمٌ']"
34,۳۵۳۰۴۷,"['أَبَانٌ', 'سُلَيْمَ بْنَ قَيْسٍ']"
35,۳۵۳۰۴۸,"['أَبَانٌ', 'سُلَيْمٌ']"
36,۳۵۳۰۴۹,"['أَبَانٌ', 'سُلَيْمٍ']"
37,۳۵۳۰۵۰,"['أَبَانٍ', 'سُلَيْمَ بْنَ قَيْسٍ', 'عَبْدَ اَلرَّحْمَنِ بْنَ غَنْمٍ اَلْأَزْدِيَّ [ثُمَّ] اَلثُّمَالِيَّ']"
38,۳۵۳۰۵۱,"['أَبَانٌ', 'سُلَيْمٍ']"
39,۳۵۳۰۵۲,"['أَبَانُ بْنُ أَبِي عَيَّاشٍ', 'سُلَيْمٍ', 'أَبَا سَعِيدٍ اَلْخُدْرِيَّ']"
40,۳۵۳۰۵۳,"['أَبَانٌ', 'سُلَيْمِ بْنِ قَيْسٍ']"
41,۳۵۳۰۵۴,"['أَبَانٌ', 'سُلَيْمٍ']"
42,۳۵۳۰۵۵,"['أَبَانٌ', 'سُلَيْمٍ', 'عَبْدُ اَللَّهِ بْنُ جَعْفَرِ بْنِ أَبِي طَالِبٍ']"
43,۳۵۳۰۵۶,"['أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمٍ']"
44,۳۵۳۰۵۷,"['أَبَانُ بْنُ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ', 'سَلْمَانَ', 'أَبِي ذَرٍّ', 'اَلْمِقْدَادِ']"
45,۳۵۳۰۵۸,"['أَبَانٌ', 'سُلَيْمٍ', 'سَلْمَانَ']"
46,۳۵۳۰۵۹,"['أَبَانُ بْنُ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ']"
47,۳۵۳۰۶۰,"['عنه', 'سليم بن قيس', 'سلمان الفارسيّ']"
48,۳۵۳۰۶۱,"['أَبَانُ بْنُ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ']"
49,۳۵۳۰۶۲,"['سُلَيْمِ بْنِ قَيْسٍ', 'سَلْمَانَ']"
50,۳۵۳۰۶۳,"['سُلَيْمٌ', 'جَابِرِ بْنِ عَبْدِ اَللَّهِ اَلْأَنْصَارِيِّ']"
51,۳۵۳۰۶۴,['سُلَيْمُ بْنُ قَيْسٍ']
52,۳۵۳۰۶۵,['سُلَيْمُ بْنُ قَيْسٍ']
53,۳۵۳۰۶۶,['سُلَيْمٌ']
54,۳۵۳۰۶۷,['سُلَيْمُ بْنُ قَيْسٍ']
55,۳۵۳۰۶۸,['سُلَيْمُ بْنُ قَيْسٍ']
56,۳۵۳۰۶۹,['سُلَيْمٌ']
57,۳۵۳۰۷۰,['سُلَيْمُ بْنُ قَيْسٍ']
58,۳۵۳۰۷۱,"['سُلَيْمُ بْنُ قَيْسٍ', 'سَلْمَانَ']"
59,۳۵۳۰۷۲,['سُلَيْمُ بْنُ قَيْسٍ']
60,۳۵۳۰۷۳,['سُلَيْمٌ']
61,۳۵۳۰۷۴,['سُلَيْمٌ']
62,۳۵۳۰۷۵,"['سُلَيْمٌ', 'سَلْمَانَ']"
63,۳۵۳۰۷۶,['سُلَيْمٌ']
64,۳۵۳۰۷۷,['سُلَيْمٌ']
65,۳۵۳۰۷۸,['سُلَيْمٌ']
66,۳۵۳۰۷۹,['سُلَيْمٌ']
67,۳۵۳۰۸۰,['سُلَيْمٌ']
68,۳۵۳۰۸۱,"['سليم', 'الأعمش', 'خيثمة']"
69,۳۵۳۰۸۲,['سُلَيْمُ بْنُ قَيْسٍ اَلْهِلاَلِيُّ']
70,۳۵۳۰۸۳,['سُلَيْمِ بْنِ قَيْسٍ']
71,۳۵۳۰۸۴,"['اَلصَّدُوقُ', 'أَبِي', 'مُحَمَّدُ بْنُ اَلْحَسَنِ', 'سَعْدُ بْنُ عَبْدِ اَللَّهِ', 'عَبْدُ اَللَّهِ بْنُ جَعْفَرٍ اَلْحِمْيَرِيُّ', 'مُحَمَّدِ بْنِ عِيسَى', 'يَعْقُوبَ بْنِ يَزِيدَ', 'إِبْرَاهِيمَ بْنِ هَاشِمٍ', 'حَمَّادِ بْنِ عِيسَى', 'عُمَرَ بْنِ أُذَيْنَةَ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ', 'سَلْمَانَ', 'أَبِي ذَرٍّ', 'اَلْمِقْدَادِ']"
72,۳۵۳۰۸۵,"['اَلْحُسَيْنُ بْنُ عَبْدِ اَلْوَهَّابِ', 'اِبْنُ عَيَّاشٍ اَلْجَوْهَرِيُّ', 'أَبُو طَالِبٍ عَبْدُ اَللَّهِ بْنُ مُحَمَّدٍ اَلْأَنْبَارِيُّ', 'أَبُو اَلْحُسَيْنِ مُحَمَّدُ بْنُ زَيْدٍ اَلتُّسْتَرِيُّ', 'أَبُو سُمَيْنَةَ مُحَمَّدُ بْنُ عَلِيٍّ اَلصَّيْرَفِيُّ', 'إِبْرَاهِيمُ بْنُ عُمَرَ اَلْيَمَانِيُّ', 'حَمَّادِ بْنِ عِيسَى', 'بِغَرِيقِ اَلْجُحْفَةِ', 'عُمَرُ بْنُ أُذَيْنَةَ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ', 'أَبَا ذَرٍّ جُنْدَبَ بْنَ جُنَادَةَ اَلْغِفَارِيَّ']"
73,۳۵۳۰۸۶,"['أَبُو اَلْمَرْجَى اَلْبَلَدِيُّ', 'أَبُو اَلْمُفَضَّلِ مُحَمَّدُ بْنُ عَبْدِ اَللَّهِ بْنِ اَلْمُطَّلِبِ اَلشَّيْبَانِيُّ اَلْكُوفِيُّ', 'اَلْحَسَنُ بْنُ عَلِيِّ بْنِ نُعَيْمِ بْنِ سَهْلِ بْنِ أَبَانِ بْنِ مُحَمَّدٍ اَلْبَغْدَادِيُّ', 'عَلِيُّ بْنُ اَلْحُسَيْنِ بْنِ بَشِيرٍ اَلْكُوفِيُّ', 'مُحَمَّدُ بْنُ سِنَانٍ', 'مُفَضَّلِ بْنِ عُمَرَ اَلْجُعْفِيِّ', 'أَبِي خَالِدٍ اَلْكَابُلِيِّ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ', 'عَبْدِ اَللَّهِ بْنِ عَبَّاسٍ']"
74,۳۵۳۰۸۷,"['مُحَمَّدُ بْنُ اَلْعَبَّاسِ', 'أَحْمَدُ بْنُ مُحَمَّدِ بْنِ سَعِيدٍ', 'رِجَالِهِ', 'سُلَيْمِ بْنِ قَيْسٍ']"
75,۳۵۳۰۸۸,['سُلَيْمُ بْنُ قَيْسٍ']
76,۳۵۳۰۸۹,['سُلَيْمِ بْنِ قَيْسٍ']
77,۳۵۳۰۹۰,"['اِبْنُ شَاذَانَ', 'أَبُو مُحَمَّدٍ اَلْحَسَنُ بْنُ عَلِيِّ بْنِ عَبْدِ اَللَّهِ اَلْعَلَوِيُّ اَلطَّبَرِيُّ', 'أَحْمَدُ بْنُ مُحَمَّدِ بْنِ عَبْدِ اَللَّهِ', 'أَحْمَدُ بْنُ مُحَمَّدٍ', 'أَبِيهِ', 'حَمَّادُ بْنُ عِيسَى', 'عُمَرُ بْنُ أُذَيْنَةَ', 'أَبَانُ بْنُ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ', 'سَلْمَانَ اَلْفَارِسِيِّ']"
78,۳۵۳۰۹۱,"['فُرَاتٌ', 'عَلِيُّ بْنُ مُحَمَّدِ بْنِ عُمَرَ اَلزُّهْرِيُّ', 'اَلْقَاسِمُ بْنُ إِسْمَاعِيلَ اَلْأَنْبَارِيُّ', 'حَفْصُ بْنُ عَاصِمٍ', 'نَصْرُ بْنُ مُزَاحِمٍ', 'عَبْدُ اَللَّهِ بْنُ اَلْمُغِيرَةِ', 'مُحَمَّدِ بْنِ هَارُونَ اَلسِّنْدِيِّ', 'أَبَانُ بْنُ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ']"
79,۳۵۳۰۹۲,"['أَحْمَدُ بْنُ مُحَمَّدِ بْنِ عِيسَى', 'عَلِيُّ بْنُ إِسْمَاعِيلَ بْنِ عِيسَى', 'مُحَمَّدُ بْنُ اَلْحُسَيْنِ بْنِ أَبِي اَلْخَطَّابِ', 'عُثْمَانَ بْنِ عِيسَى', 'عُمَرَ بْنِ أُذَيْنَةَ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
80,۳۵۳۰۹۳,"['اَلْحَسْكَانِيُّ', 'مُحَمَّدُ بْنُ عَبْدِ اَللَّهِ بْنِ أَحْمَدَ اَلصُّوفِيُّ', 'مُحَمَّدُ بْنُ أَحْمَدَ بْنِ مُحَمَّدٍ اَلْحَافِظُ', 'عَبْدُ اَلْعَزِيزِ بْنُ يَحْيَى بْنِ أَحْمَدَ', 'أَحْمَدُ بْنُ مُحَمَّدِ بْنِ عُمَيْرٍ', 'بِشْرُ بْنُ اَلْمُفَضَّلِ', 'عِيسَى بْنِ يُوسُفَ', 'أَبِي اَلْحَسَنِ عَلِيِّ بْنِ يَحْيَى', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
81,۳۵۳۰۹۴,"['مُحَمَّدُ بْنُ اَلْعَبَّاسِ', 'مُحَمَّدُ بْنُ اَلْقَاسِمِ', 'عُبَيْدِ بْنِ كَثِيرٍ', 'حُسَيْنِ بْنِ نَصْرِ بْنِ مُزَاحِمٍ', 'أَبِيهِ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
82,۳۵۳۰۹۵,"['مُحَمَّدُ بْنُ اَلْعَبَّاسِ', 'مُحَمَّدُ بْنُ اَلْقَاسِمِ', 'حُسَيْنِ بْنِ اَلْحَكَمِ', 'حُسَيْنِ بْنِ نَصْرِ بْنِ مُزَاحِمٍ', 'أَبِيهِ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
83,۳۵۳۰۹۶,"['مُحَمَّدُ بْنُ اَلْعَبَّاسِ', 'مُحَمَّدُ بْنُ اَلْقَاسِمِ', 'حُسَيْنِ بْنِ اَلْحَكَمِ', 'حُسَيْنِ بْنِ نَصْرٍ', 'أَبِيهِ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
84,۳۵۳۰۹۷,"['مُحَمَّدُ بْنُ اَلْعَبَّاسِ', 'اَلْحُسَيْنُ بْنُ أَحْمَدَ اَلْمَالِكِيُّ', 'مُحَمَّدِ بْنِ عِيسَى', 'مُحَمَّدِ بْنِ أَبِي عُمَيْرٍ', 'عُمَرَ بْنِ أُذَيْنَةَ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
85,۳۵۳۰۹۸,"['سُلَيْمَانُ بْنُ سَمَاعَةَ', 'عَبْدِ اَللَّهِ بْنِ اَلْقَاسِمِ', 'أَبِي اَلْحَسَنِ اَلْأَزْدِيِّ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ', 'اِبْنِ عَبَّاسٍ']"
86,۳۵۳۰۹۹,"['عَلِيُّ بْنُ إِبْرَاهِيمَ', 'أَبِيهِ', 'حَمَّادِ بْنِ عِيسَى', 'إِبْرَاهِيمَ بْنِ عُمَرَ اَلْيَمَانِيِّ', 'عُمَرَ بْنِ أُذَيْنَةَ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
87,۳۵۳۱۰۰,"['اَلصَّدُوقُ', 'مُحَمَّدُ بْنُ عَلِيٍّ مَاجِيلَوَيْهِ', 'مُحَمَّدُ بْنُ يَحْيَى اَلْعَطَّارُ', 'مُحَمَّدِ بْنِ أَحْمَدَ بْنِ مُحَمَّدٍ', 'اَلْعَبَّاسِ بْنِ مَعْرُوفٍ', 'عَلِيِّ بْنِ مَهْزِيَارَ', 'حَكَمِ بْنِ بُهْلُولٍ', 'إِسْمَاعِيلَ بْنِ هَمَّامٍ', 'عُمَرَ بْنِ أُذَيْنَةَ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
88,۳۵۳۱۰۱,"['اَلْخَوَاتِيمِيُّ', 'مُحَمَّدِ بْنِ عَلِيٍّ اَلصَّيْرَفِيِّ', 'مُحَمَّدِ بْنِ أَسْلَمَ', 'اَلْحَسَنِ بْنِ مُحَمَّدٍ اَلْهَاشِمِيِّ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ']"
89,۳۵۳۱۰۲,"['اَلْكُلَيْنِيُّ', 'عِدَّةٍ مِنْ أَصْحَابِنَا', 'أَحْمَدَ بْنِ مُحَمَّدِ بْنِ خَالِدٍ', 'عُثْمَانَ بْنِ عِيسَى', 'عُمَرَ بْنِ أُذَيْنَةَ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ']"
90,۳۵۳۱۰۳,"['اَلشَّيْخُ اَلطُّوسِيُّ', 'جَمَاعَةٌ', 'أَبِي اَلْمُفَضَّلِ', 'عَبْدُ اَلرَّزَّاقِ بْنُ سُلَيْمَانَ بْنِ غَالِبٍ اَلْأَزْدِيُّ', 'اَلْفَضْلُ بْنُ اَلْمُفَضَّلِ بْنِ قَيْسِ بْنِ[رُمَّانَةَ]زمانة اَلْأَشْعَرِيُّ', 'حَمَّادُ بْنُ عِيسَى اَلْغَرِيقُ', 'عُمَرُ بْنُ أُذَيْنَةَ', 'أَبَانِ بْنِ أَبِي عَيَّاشٍ', 'سُلَيْمِ بْنِ قَيْسٍ']"
91,۳۵۳۱۰۴,"['اَلشَّيْخُ أَبُو مُحَمَّدٍ اَلْفَضْلُ بْنُ شَاذَانَ بْنِ خَلِيلٍ', 'اَلْحَسَنُ بْنُ عَلِيِّ بْنِ فَضَّالٍ', 'اِبْنُ أَبِي نَجْرَانَ', 'حَمَّادِ بْنِ عِيسَى', 'عَبْدِ اَللَّهِ بْنِ مُسْكَانَ', 'أَبَانِ بْنِ تَغْلِبَ', 'سُلَيْمِ بْنِ قَيْسٍ اَلْهِلاَلِيِّ', 'سَلْمَانَ اَلْفَارِسِيِّ']"
92,۳۵۳۱۰۵,"['السيّد نعمة اللّه الجزائريّ', 'الصدوق', 'سليم بن قيس']"
93,۳۵۳۱۰۶,"['فرات', 'الحسكاني', 'جعفر بن محمّد بن هشام', 'عبادة بن زياد', 'أبي معمر سعيد بن خثيم', 'محمّد بن خالد الضبي', 'عبد اللّه بن شريك العامري', 'سليم بن قيس']"
94,۳۵۳۱۰۸,"['ابن عساكر', 'أبو الغنائم محمّد بن علية بن الحسن الحسني', 'القاضي محمّد بن عبد اللّه الجعفي', 'الحسين بن محمّد بن الفرزدق', 'الحسن بن عليّ بن بزيع', 'محمّد بن عمر', 'إبراهيم بن إسحاق', 'عبد اللّه بن أذينة البصري', 'أبان بن أبي عيّاش', 'سليم بن قيس العامري']"
95,۳۵۳۱۰۹,"['ابن شهرآشوب', 'محمّد بن خشيش', 'التميمي', 'سليم', 'سلمان']"
96,۳۵۳۱۱۰,"['المتقي الهندي', 'سليم بن قيس العامري']"
97,۳۵۳۱۱۱,"['النعمان بن محمّد التميمي المغربي', 'أبو أحمد', 'عبيد', 'محمّد بن عمر بن أبي مسلم', 'عبد القدوس بن إبراهيم بن مرداس', 'محمّد بن عبد الرحمن بن أذينة', 'أبان بن أبي عيّاش', 'سليم بن قيس الهلالي', 'سلمان']"
98,۳۵۳۱۱۲,"['أبو جعفر محمّد بن سليمان الكوفيّ', 'سليم بن قيس الهلالي']"
